ID,Name,Age,Salary,Joining_Date,Department,Is_Permanent,Performance_Score,Project_Count,Country
1,User_1,18,33492.73,2021-03-12,Engineering,False,3.94,10,Canada
2,User_2,44,101300.97,2021-12-07,Sales,False,3.79,7,UK
3,User_3,23,113180.8,2021-09-18,Sales,True,2.99,11,USA
4,User_4,41,33019.84,2021-03-20,Sales,False,3.6,7,Germany
5,User_5,57,67301.52,2024-02-24,Finance,True,4.74,13,UK
6,User_6,40,67902.76,2024-07-08,HR,False,4.41,10,Canada
7,User_7,42,41768.65,2019-07-11,Marketing,False,4.87,9,France
8,User_8,55,115149.25,2021-07-11,Finance,True,3.66,12,Germany
9,User_9,53,65534.36,2020-03-13,HR,True,4.69,11,Canada
10,User_10,52,84100.22,2024-02-28,Engineering,True,4.69,10,USA
11,User_11,21,76914.3,2021-09-10,Finance,False,3.1,7,France
12,User_12,44,48468.1,2024-07-02,Sales,False,2.62,15,USA
13,User_13,41,83042.6,2021-02-20,Finance,True,2.54,9,France
14,User_14,25,86370.37,2022-06-30,Engineering,True,4.52,13,USA
15,User_15,26,41200.38,2020-01-12,Finance,False,4.28,3,France
16,User_16,38,60712.21,2024-07-12,Sales,False,2.67,15,Canada
17,User_17,58,37326.99,2024-06-10,Engineering,False,3.57,6,USA
18,User_18,34,81672.09,2021-12-08,Marketing,False,3.1,1,UK
19,User_19,30,115002.91,2024-10-31,HR,True,4.92,2,Canada
20,User_20,35,72292.82,2020-02-11,Marketing,True,3.17,5,USA
21,User_21,52,36619.7,2021-01-06,Marketing,True,2.65,13,UK
22,User_22,27,96318.86,2023-12-01,Engineering,True,3.47,13,USA
23,User_23,47,98678.29,2019-09-07,HR,False,2.59,0,Germany
24,User_24,40,91990.72,2024-04-29,Marketing,True,4.88,2,Canada
25,User_25,59,36574.45,2024-11-08,Finance,False,3.68,8,USA
